sistema,tam_chunk,operacion,metrica,muestra,repeticion,segundos
postgres,10000,consulta,cosine,1681,1,0.587976400
postgres,10000,consulta,cosine,1681,2,0.518921500
postgres,10000,consulta,cosine,1681,3,0.531023600
postgres,10000,consulta,cosine,1681,4,0.564465900
postgres,10000,consulta,cosine,1681,5,0.702492600
postgres,10000,consulta,cosine,1951,1,0.537635000
postgres,10000,consulta,cosine,1951,2,0.548337700
postgres,10000,consulta,cosine,1951,3,0.552871900
postgres,10000,consulta,cosine,1951,4,0.556368000
postgres,10000,consulta,cosine,1951,5,0.534889600
postgres,10000,consulta,cosine,3658,1,0.569054000
postgres,10000,consulta,cosine,3658,2,0.532245100
postgres,10000,consulta,cosine,3658,3,0.532454300
postgres,10000,consulta,cosine,3658,4,0.531781700
postgres,10000,consulta,cosine,3658,5,0.529551800
postgres,10000,consulta,cosine,5234,1,0.525693100
postgres,10000,consulta,cosine,5234,2,0.537439200
postgres,10000,consulta,cosine,5234,3,0.550956600
postgres,10000,consulta,cosine,5234,4,0.553721500
postgres,10000,consulta,cosine,5234,5,0.567388100
postgres,10000,consulta,cosine,6891,1,0.556358500
postgres,10000,consulta,cosine,6891,2,0.562306700
postgres,10000,consulta,cosine,6891,3,0.552606200
postgres,10000,consulta,cosine,6891,4,0.556747600
postgres,10000,consulta,cosine,6891,5,0.556980700
postgres,10000,consulta,cosine,8233,1,0.543075900
postgres,10000,consulta,cosine,8233,2,0.558818600
postgres,10000,consulta,cosine,8233,3,0.629643100
postgres,10000,consulta,cosine,8233,4,0.548568000
postgres,10000,consulta,cosine,8233,5,0.526913100
postgres,10000,consulta,cosine,8385,1,0.555801400
postgres,10000,consulta,cosine,8385,2,0.537492200
postgres,10000,consulta,cosine,8385,3,0.559057800
postgres,10000,consulta,cosine,8385,4,0.596611200
postgres,10000,consulta,cosine,8385,5,0.566852300
postgres,10000,consulta,cosine,9118,1,0.550261400
postgres,10000,consulta,cosine,9118,2,0.567559500
postgres,10000,consulta,cosine,9118,3,0.542744900
postgres,10000,consulta,cosine,9118,4,0.572609300
postgres,10000,consulta,cosine,9118,5,0.551877500
postgres,10000,consulta,cosine,9380,1,0.565825700
postgres,10000,consulta,cosine,9380,2,0.565216200
postgres,10000,consulta,cosine,9380,3,0.542844100
postgres,10000,consulta,cosine,9380,4,0.561307200
postgres,10000,consulta,cosine,9380,5,0.595264300
postgres,10000,consulta,cosine,9847,1,0.567485000
postgres,10000,consulta,cosine,9847,2,0.566707100
postgres,10000,consulta,cosine,9847,3,0.541068300
postgres,10000,consulta,cosine,9847,4,0.574919900
postgres,10000,consulta,cosine,9847,5,0.549811300
postgres,10000,consulta,l2,1681,1,0.523385500
postgres,10000,consulta,l2,1681,2,0.508612200
postgres,10000,consulta,l2,1681,3,0.523327600
postgres,10000,consulta,l2,1681,4,0.519485500
postgres,10000,consulta,l2,1681,5,0.577761000
postgres,10000,consulta,l2,1951,1,0.518053600
postgres,10000,consulta,l2,1951,2,0.539206800
postgres,10000,consulta,l2,1951,3,0.505909800
postgres,10000,consulta,l2,1951,4,0.612300800
postgres,10000,consulta,l2,1951,5,0.505187100
postgres,10000,consulta,l2,3658,1,0.515844000
postgres,10000,consulta,l2,3658,2,0.518180900
postgres,10000,consulta,l2,3658,3,0.519762300
postgres,10000,consulta,l2,3658,4,0.553329800
postgres,10000,consulta,l2,3658,5,0.571185700
postgres,10000,consulta,l2,5234,1,0.519262400
postgres,10000,consulta,l2,5234,2,0.553411600
postgres,10000,consulta,l2,5234,3,0.521832000
postgres,10000,consulta,l2,5234,4,0.524270600
postgres,10000,consulta,l2,5234,5,0.552152100
postgres,10000,consulta,l2,6891,1,0.512056100
postgres,10000,consulta,l2,6891,2,0.518372400
postgres,10000,consulta,l2,6891,3,0.518994600
postgres,10000,consulta,l2,6891,4,0.522088200
postgres,10000,consulta,l2,6891,5,0.532706500
postgres,10000,consulta,l2,8233,1,0.531443200
postgres,10000,consulta,l2,8233,2,0.514778400
postgres,10000,consulta,l2,8233,3,0.516947600
postgres,10000,consulta,l2,8233,4,0.519489300
postgres,10000,consulta,l2,8233,5,0.533826000
postgres,10000,consulta,l2,8385,1,0.531795000
postgres,10000,consulta,l2,8385,2,0.525766200
postgres,10000,consulta,l2,8385,3,0.530137200
postgres,10000,consulta,l2,8385,4,0.525098500
postgres,10000,consulta,l2,8385,5,0.518427500
postgres,10000,consulta,l2,9118,1,0.511861700
postgres,10000,consulta,l2,9118,2,0.519072300
postgres,10000,consulta,l2,9118,3,0.524873800
postgres,10000,consulta,l2,9118,4,0.520031500
postgres,10000,consulta,l2,9118,5,0.521900600
postgres,10000,consulta,l2,9380,1,0.526539200
postgres,10000,consulta,l2,9380,2,0.527093500
postgres,10000,consulta,l2,9380,3,0.518890400
postgres,10000,consulta,l2,9380,4,0.529676100
postgres,10000,consulta,l2,9380,5,0.525834200
postgres,10000,consulta,l2,9847,1,0.593530800
postgres,10000,consulta,l2,9847,2,0.525884300
postgres,10000,consulta,l2,9847,3,0.528462100
postgres,10000,consulta,l2,9847,4,0.569433200
postgres,10000,consulta,l2,9847,5,0.589566900
