sistema,metrica,query_id,rank,result_id,distancia
chroma,cosine,1681,1,321,0.542736828
chroma,cosine,1681,2,6281,0.557062268
chroma,cosine,1951,1,4539,0.567289293
chroma,cosine,1951,2,7927,0.624158084
chroma,cosine,3658,1,8741,0.459818840
chroma,cosine,3658,2,2151,0.486061096
chroma,cosine,5234,1,4798,0.405733466
chroma,cosine,5234,2,7470,0.444788992
chroma,cosine,6891,1,6087,0.422319770
chroma,cosine,6891,2,6890,0.489714384
chroma,cosine,8233,1,2378,0.409225583
chroma,cosine,8233,2,8231,0.469878197
chroma,cosine,8385,1,1964,0.431676745
chroma,cosine,8385,2,1949,0.447889864
chroma,cosine,9118,1,5282,0.477267325
chroma,cosine,9118,2,2798,0.537071824
chroma,cosine,9380,1,7342,0.399631560
chroma,cosine,9380,2,2975,0.439563930
chroma,cosine,9847,1,3289,0.451332450
chroma,cosine,9847,2,7821,0.506548405
chroma,l2,1681,1,321,1.085473537
chroma,l2,1681,2,6281,1.114124537
chroma,l2,1951,1,4539,1.134578943
chroma,l2,1951,2,7927,1.248316288
chroma,l2,3658,1,8741,0.919637799
chroma,l2,3658,2,2151,0.972122312
chroma,l2,5234,1,4798,0.811466932
chroma,l2,5234,2,7470,0.889578223
chroma,l2,6891,1,6087,0.844639659
chroma,l2,6891,2,6890,0.979428709
chroma,l2,8233,1,2378,0.818451107
chroma,l2,8233,2,8231,0.939756453
chroma,l2,8385,1,1964,0.863353133
chroma,l2,8385,2,1949,0.895779848
chroma,l2,9118,1,5282,0.954534709
chroma,l2,9118,2,2798,1.074143887
chroma,l2,9380,1,7342,0.799263060
chroma,l2,9380,2,2975,0.879127860
chroma,l2,9847,1,3289,0.902664602
chroma,l2,9847,2,7821,1.013096690
