sistema,metrica,query_id,rank,result_id,distancia
pgvector,cosine,1681,1,321,0.542736785
pgvector,cosine,1681,2,6281,0.557062268
pgvector,cosine,1951,1,4539,0.567289472
pgvector,cosine,1951,2,7927,0.624158181
pgvector,cosine,3658,1,8741,0.459818927
pgvector,cosine,3658,2,2151,0.486061096
pgvector,cosine,5234,1,4798,0.405733585
pgvector,cosine,5234,2,7470,0.444789112
pgvector,cosine,6891,1,6087,0.422319897
pgvector,cosine,6891,2,6890,0.489714428
pgvector,cosine,8233,1,2378,0.409225548
pgvector,cosine,8233,2,8231,0.469878228
pgvector,cosine,8385,1,1964,0.431676592
pgvector,cosine,8385,2,1949,0.447889891
pgvector,cosine,9118,1,5282,0.477267353
pgvector,cosine,9118,2,2798,0.537071927
pgvector,cosine,9380,1,7342,0.399631542
pgvector,cosine,9380,2,2975,0.439563930
pgvector,cosine,9847,1,3289,0.451332358
pgvector,cosine,9847,2,7821,0.506548376
pgvector,l2,1681,1,321,1.041860613
pgvector,l2,1681,2,6281,1.055520922
pgvector,l2,1951,1,4539,1.065166158
pgvector,l2,1951,2,7927,1.117280756
pgvector,l2,3658,1,8741,0.958977445
pgvector,l2,3658,2,2151,0.985962571
pgvector,l2,5234,1,4798,0.900814660
pgvector,l2,5234,2,7470,0.943174545
pgvector,l2,6891,1,6087,0.919042795
pgvector,l2,6891,2,6890,0.989660816
pgvector,l2,8233,1,2378,0.904682909
pgvector,l2,8233,2,8231,0.969410456
pgvector,l2,8385,1,1964,0.929167979
pgvector,l2,8385,2,1949,0.946456406
pgvector,l2,9118,1,5282,0.977002922
pgvector,l2,9118,2,2798,1.036409073
pgvector,l2,9380,1,7342,0.894015167
pgvector,l2,9380,2,2975,0.937618185
pgvector,l2,9847,1,3289,0.950086691
pgvector,l2,9847,2,7821,1.006527044
pgvector_hnsw,cosine,1681,1,321,0.542736785
pgvector_hnsw,cosine,1681,2,6281,0.557062268
pgvector_hnsw,cosine,1951,1,4539,0.567289472
pgvector_hnsw,cosine,1951,2,7927,0.624158181
pgvector_hnsw,cosine,3658,1,8741,0.459818927
pgvector_hnsw,cosine,3658,2,2151,0.486061096
pgvector_hnsw,cosine,5234,1,4798,0.405733585
pgvector_hnsw,cosine,5234,2,7470,0.444789112
pgvector_hnsw,cosine,6891,1,6087,0.422319897
pgvector_hnsw,cosine,6891,2,6890,0.489714428
pgvector_hnsw,cosine,8233,1,2378,0.409225548
pgvector_hnsw,cosine,8233,2,8231,0.469878228
pgvector_hnsw,cosine,8385,1,1964,0.431676592
pgvector_hnsw,cosine,8385,2,1949,0.447889891
pgvector_hnsw,cosine,9118,1,5282,0.477267353
pgvector_hnsw,cosine,9118,2,2798,0.537071927
pgvector_hnsw,cosine,9380,1,7342,0.399631542
pgvector_hnsw,cosine,9380,2,2975,0.439563930
pgvector_hnsw,cosine,9847,1,3289,0.451332358
pgvector_hnsw,cosine,9847,2,7821,0.506548376
pgvector_hnsw,l2,1681,1,321,1.041860613
pgvector_hnsw,l2,1681,2,6281,1.055520922
pgvector_hnsw,l2,1951,1,4539,1.065166158
pgvector_hnsw,l2,1951,2,7927,1.117280756
pgvector_hnsw,l2,3658,1,8741,0.958977445
pgvector_hnsw,l2,3658,2,2151,0.985962571
pgvector_hnsw,l2,5234,1,4798,0.900814660
pgvector_hnsw,l2,5234,2,7470,0.943174545
pgvector_hnsw,l2,6891,1,6087,0.919042795
pgvector_hnsw,l2,6891,2,6890,0.989660816
pgvector_hnsw,l2,8233,1,2378,0.904682909
pgvector_hnsw,l2,8233,2,8231,0.969410456
pgvector_hnsw,l2,8385,1,1964,0.929167979
pgvector_hnsw,l2,8385,2,1949,0.946456406
pgvector_hnsw,l2,9118,1,5282,0.977002922
pgvector_hnsw,l2,9118,2,2798,1.036409073
pgvector_hnsw,l2,9380,1,7342,0.894015167
pgvector_hnsw,l2,9380,2,2975,0.937618185
pgvector_hnsw,l2,9847,1,3289,0.950086691
pgvector_hnsw,l2,9847,2,7821,1.006527044
