sistema,metrica,query_id,rank,result_id,distancia
postgres,cosine,1681,1,321,0.542736783
postgres,cosine,1681,2,6281,0.557062271
postgres,cosine,1951,1,4539,0.567289463
postgres,cosine,1951,2,7927,0.624158159
postgres,cosine,3658,1,8741,0.459818880
postgres,cosine,3658,2,2151,0.486061121
postgres,cosine,5234,1,4798,0.405733529
postgres,cosine,5234,2,7470,0.444789117
postgres,cosine,6891,1,6087,0.422319876
postgres,cosine,6891,2,6890,0.489714363
postgres,cosine,8233,1,2378,0.409225608
postgres,cosine,8233,2,8231,0.469878273
postgres,cosine,8385,1,1964,0.431676614
postgres,cosine,8385,2,1949,0.447889928
postgres,cosine,9118,1,5282,0.477267363
postgres,cosine,9118,2,2798,0.537071904
postgres,cosine,9380,1,7342,0.399631571
postgres,cosine,9380,2,2975,0.439563931
postgres,cosine,9847,1,3289,0.451332360
postgres,cosine,9847,2,7821,0.506548397
postgres,l2,1681,1,321,1.041860620
postgres,l2,1681,2,6281,1.055520966
postgres,l2,1951,1,4539,1.065166154
postgres,l2,1951,2,7927,1.117280750
postgres,l2,3658,1,8741,0.958977415
postgres,l2,3658,2,2151,0.985962596
postgres,l2,5234,1,4798,0.900814653
postgres,l2,5234,2,7470,0.943174550
postgres,l2,6891,1,6087,0.919042790
postgres,l2,6891,2,6890,0.989660872
postgres,l2,8233,1,2378,0.904682908
postgres,l2,8233,2,8231,0.969410439
postgres,l2,8385,1,1964,0.929167999
postgres,l2,8385,2,1949,0.946456438
postgres,l2,9118,1,5282,0.977002912
postgres,l2,9118,2,2798,1.036409096
postgres,l2,9380,1,7342,0.894015171
postgres,l2,9380,2,2975,0.937618176
postgres,l2,9847,1,3289,0.950086667
postgres,l2,9847,2,7821,1.006527056
